transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers
2020-11-08T16:00:00.000,tram,TRAM1,RI Tramway (Manhattan),Manhattan,metrocard,Metrocard - Unlimited 7-Day,15.0,0.0
2020-11-28T10:00:00.000,subway,329,Rector St (1),Manhattan,metrocard,Metrocard - Full Fare,16.0,0.0
2020-11-28T09:00:00.000,subway,333,"Wall St (2,3)",Manhattan,metrocard,Metrocard - Unlimited 7-Day,6.0,0.0
2020-11-28T10:00:00.000,subway,17,"Prince St (R,W)",Manhattan,metrocard,Metrocard - Fair Fare,4.0,0.0
2020-11-28T18:00:00.000,subway,143,Inwood-207 St (A),Manhattan,metrocard,Metrocard - Unlimited 30-Day,8.0,0.0
2020-11-28T00:00:00.000,subway,10,"49 St (N,R,W)",Manhattan,omny,OMNY - Full Fare,6.0,0.0
2020-11-28T16:00:00.000,subway,327,"Chambers St (1,2,3)",Manhattan,metrocard,Metrocard - Fair Fare,8.0,0.0
2020-11-08T07:00:00.000,subway,8,"5 Av/59 St (N,R,W)",Manhattan,metrocard,Metrocard - Other,3.0,0.0
2020-11-28T04:00:00.000,subway,151,"145 St (A,C,B,D)",Manhattan,metrocard,Metrocard - Full Fare,6.0,0.0
2020-11-28T16:00:00.000,subway,169,"Canal St (A,C,E)",Manhattan,metrocard,Metrocard - Unlimited 7-Day,41.0,0.0
2020-11-28T16:00:00.000,subway,220,"155 St (B,D)",Manhattan,metrocard,Metrocard - Unlimited 7-Day,16.0,0.0
2020-11-08T10:00:00.000,tram,TRAM2,RI Tramway (Roosevelt),Manhattan,metrocard,Metrocard - Seniors & Disability,3.0,0.0
2020-11-28T13:00:00.000,subway,103,"Bowery (J,Z)",Manhattan,metrocard,Metrocard - Other,2.0,0.0
2020-11-08T20:00:00.000,subway,8,"5 Av/59 St (N,R,W)",Manhattan,metrocard,Metrocard - Unlimited 7-Day,12.0,0.0
2020-11-28T07:00:00.000,subway,298,207 St (1),Manhattan,metrocard,Metrocard - Other,3.0,0.0
2020-11-28T10:00:00.000,subway,152,"135 St (C,B)",Manhattan,metrocard,Metrocard - Unlimited 7-Day,7.0,0.0
2020-11-28T06:00:00.000,subway,150,155 St (C),Manhattan,metrocard,Metrocard - Fair Fare,1.0,0.0
2020-11-28T07:00:00.000,subway,328,WTC Cortlandt (1),Manhattan,metrocard,Metrocard - Other,1.0,0.0
2020-11-08T19:00:00.000,tram,TRAM1,RI Tramway (Manhattan),Manhattan,metrocard,Metrocard - Unlimited 7-Day,5.0,0.0
2020-11-28T19:00:00.000,subway,224,57 St (F),Manhattan,omny,OMNY - Full Fare,37.0,0.0
2020-11-28T09:00:00.000,subway,10,"49 St (N,R,W)",Manhattan,metrocard,Metrocard - Unlimited 7-Day,11.0,0.0
2020-11-28T14:00:00.000,subway,149,163 St-Amsterdam Av (C),Manhattan,metrocard,Metrocard - Seniors & Disability,5.0,0.0
2020-11-28T14:00:00.000,subway,225,"47-50 Sts-Rockefeller Ctr (B,D,F,M)",Manhattan,omny,OMNY - Full Fare,67.0,0.0
