transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers
2023-03-23T15:00:00.000,subway,146,181 St (A),Manhattan,metrocard,Metrocard - Other,14.0,0.0
2023-03-23T22:00:00.000,subway,397,"86 St (4,5,6)",Manhattan,metrocard,Metrocard - Fair Fare,28.0,1.0
2023-03-23T16:00:00.000,subway,164,"34 St-Penn Station (A,C,E)",Manhattan,metrocard,Metrocard - Other,179.0,1.0
2023-03-23T20:00:00.000,subway,107,"Broad St (J,Z)",Manhattan,metrocard,Metrocard - Seniors & Disability,1.0,0.0
2023-03-23T23:00:00.000,subway,414,"Bowling Green (4,5)",Manhattan,metrocard,Metrocard - Seniors & Disability,3.0,1.0
2023-03-23T21:00:00.000,subway,333,"Wall St (2,3)",Manhattan,metrocard,Metrocard - Seniors & Disability,2.0,0.0
2023-03-23T13:00:00.000,subway,157,"96 St (C,B)",Manhattan,metrocard,Metrocard - Unlimited 30-Day,30.0,0.0
2023-03-23T17:00:00.000,subway,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,metrocard,Metrocard - Unlimited 7-Day,247.0,0.0
2023-03-23T12:00:00.000,subway,327,"Chambers St (1,2,3)",Manhattan,omny,OMNY - Full Fare,204.0,0.0
2023-03-23T16:00:00.000,subway,395,103 St (6),Manhattan,metrocard,Metrocard - Unlimited 7-Day,97.0,0.0
2023-03-23T03:00:00.000,subway,152,"135 St (C,B)",Manhattan,metrocard,Metrocard - Unlimited 30-Day,1.0,0.0
2023-03-23T04:00:00.000,subway,150,155 St (C),Manhattan,omny,OMNY - Full Fare,8.0,0.0
2023-03-23T14:00:00.000,subway,328,WTC Cortlandt (1),Manhattan,omny,OMNY - Full Fare,192.0,0.0
2023-03-23T14:00:00.000,subway,413,"Wall St (4,5)",Manhattan,metrocard,Metrocard - Unlimited 30-Day,52.0,0.0
2023-03-23T07:00:00.000,subway,399,68 St-Hunter College (6),Manhattan,metrocard,Metrocard - Unlimited 30-Day,46.0,0.0
2023-03-23T06:00:00.000,subway,164,"34 St-Penn Station (A,C,E)",Manhattan,metrocard,Metrocard - Unlimited 30-Day,129.0,0.0
2023-03-23T14:00:00.000,subway,329,Rector St (1),Manhattan,metrocard,Metrocard - Unlimited 30-Day,23.0,0.0
2023-03-23T18:00:00.000,subway,118,3 Av (L),Manhattan,omny,OMNY - Full Fare,285.0,8.0
2023-03-23T13:00:00.000,subway,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,metrocard,Metrocard - Fair Fare,28.0,0.0
2023-03-23T10:00:00.000,subway,403,33 St (6),Manhattan,metrocard,Metrocard - Students,7.0,0.0
2023-03-23T09:00:00.000,subway,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,metrocard,Metrocard - Seniors & Disability,34.0,0.0
2023-03-23T06:00:00.000,subway,159,"81 St-Museum of Natural History (C,B)",Manhattan,metrocard,Metrocard - Students,1.0,0.0
2023-03-23T18:00:00.000,subway,157,"96 St (C,B)",Manhattan,metrocard,Metrocard - Seniors & Disability,27.0,8.0
2023-03-23T16:00:00.000,subway,159,"81 St-Museum of Natural History (C,B)",Manhattan,metrocard,Metrocard - Full Fare,302.0,29.0
2023-03-23T15:00:00.000,subway,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,metrocard,Metrocard - Fair Fare,52.0,0.0
2023-03-23T15:00:00.000,subway,149,163 St-Amsterdam Av (C),Manhattan,metrocard,Metrocard - Seniors & Disability,9.0,1.0
2023-03-23T16:00:00.000,subway,407,Astor Pl (6),Manhattan,metrocard,Metrocard - Unlimited 7-Day,111.0,0.0
2023-03-23T05:00:00.000,subway,155,"Cathedral Pkwy (110 St) (C,B)",Manhattan,metrocard,Metrocard - Fair Fare,2.0,0.0
2023-03-23T18:00:00.000,subway,165,"23 St (C,E)",Manhattan,omny,OMNY - Full Fare,871.0,19.0
2023-03-23T17:00:00.000,subway,119,1 Av (L),Manhattan,metrocard,Metrocard - Unlimited 30-Day,172.0,0.0
2023-03-23T13:00:00.000,subway,409,Spring St (6),Manhattan,metrocard,Metrocard - Unlimited 7-Day,51.0,0.0
2023-03-23T10:00:00.000,subway,107,"Broad St (J,Z)",Manhattan,metrocard,Metrocard - Full Fare,17.0,2.0
2023-03-23T12:00:00.000,subway,16,"8 St-NYU (R,W)",Manhattan,metrocard,Metrocard - Students,13.0,0.0
2023-03-23T11:00:00.000,subway,394,110 St (6),Manhattan,metrocard,Metrocard - Unlimited 30-Day,29.0,0.0
2023-03-23T17:00:00.000,subway,165,"23 St (C,E)",Manhattan,metrocard,Metrocard - Full Fare,292.0,9.0
2023-03-23T21:00:00.000,subway,168,"Spring St (C,E)",Manhattan,omny,OMNY - Full Fare,257.0,0.0
2023-03-23T13:00:00.000,subway,162,"50 St (C,E)",Manhattan,metrocard,Metrocard - Full Fare,113.0,5.0
