date,event,type,team,location,year,month,day,day_of_week,day_name,is_weekend,start_hour
2022-08-12 19:10:00-04:00,Mets vs Philadelphia Phillies (Home),Sports,Mets,Home,2022,8,12,4,Friday,False,19
2022-08-13 19:10:00-04:00,Mets vs Philadelphia Phillies (Home),Sports,Mets,Home,2022,8,13,5,Saturday,True,19
2022-08-13 19:15:00-04:00,Yankees vs Boston Red Sox (Away),Sports,Yankees,Away,2022,8,13,5,Saturday,True,19
2022-08-14 13:40:00-04:00,Mets vs Philadelphia Phillies (Home),Sports,Mets,Home,2022,8,14,6,Sunday,True,13
2022-08-14 19:08:00-04:00,Yankees vs Boston Red Sox (Away),Sports,Yankees,Away,2022,8,14,6,Sunday,True,19
2022-08-15 19:05:00-04:00,Yankees vs Tampa Bay Rays (Home),Sports,Yankees,Home,2022,8,15,0,Monday,False,19
2022-08-15 19:20:00-04:00,Mets vs Atlanta Braves (Away),Sports,Mets,Away,2022,8,15,0,Monday,False,19
2022-08-16 19:05:00-04:00,Yankees vs Tampa Bay Rays (Home),Sports,Yankees,Home,2022,8,16,1,Tuesday,False,19
2022-08-16 19:20:00-04:00,Mets vs Atlanta Braves (Away),Sports,Mets,Away,2022,8,16,1,Tuesday,False,19
2022-08-17 19:05:00-04:00,Yankees vs Tampa Bay Rays (Home),Sports,Yankees,Home,2022,8,17,2,Wednesday,False,19
2022-08-17 19:20:00-04:00,Mets vs Atlanta Braves (Away),Sports,Mets,Away,2022,8,17,2,Wednesday,False,19
2022-08-18 19:05:00-04:00,Yankees vs Toronto Blue Jays (Home),Sports,Yankees,Home,2022,8,18,3,Thursday,False,19
2022-08-18 19:20:00-04:00,Mets vs Atlanta Braves (Away),Sports,Mets,Away,2022,8,18,3,Thursday,False,19
2022-08-19 19:05:00-04:00,Yankees vs Toronto Blue Jays (Home),Sports,Yankees,Home,2022,8,19,4,Friday,False,19
2022-08-19 19:05:00-04:00,Mets vs Philadelphia Phillies (Away),Sports,Mets,Away,2022,8,19,4,Friday,False,19
2022-08-20 13:05:00-04:00,Yankees vs Toronto Blue Jays (Home),Sports,Yankees,Home,2022,8,20,5,Saturday,True,13
2022-08-20 13:05:00-04:00,Mets vs Philadelphia Phillies (Away),Sports,Mets,Away,2022,8,20,5,Saturday,True,13
2022-08-20 19:15:00-04:00,Mets vs Philadelphia Phillies (Away),Sports,Mets,Away,2022,8,20,5,Saturday,True,19
2022-08-21 13:35:00-04:00,Yankees vs Toronto Blue Jays (Home),Sports,Yankees,Home,2022,8,21,6,Sunday,True,13
2022-08-21 13:35:00-04:00,Mets vs Philadelphia Phillies (Away),Sports,Mets,Away,2022,8,21,6,Sunday,True,13
2022-08-22 19:05:00-04:00,Mets vs New York Yankees (Away),Sports,Mets,Away,2022,8,22,0,Monday,False,19
2022-08-22 19:05:00-04:00,Yankees vs New York Mets (Home),Sports,Yankees,Home,2022,8,22,0,Monday,False,19
2022-08-23 19:05:00-04:00,Mets vs New York Yankees (Away),Sports,Mets,Away,2022,8,23,1,Tuesday,False,19
2022-08-23 19:05:00-04:00,Yankees vs New York Mets (Home),Sports,Yankees,Home,2022,8,23,1,Tuesday,False,19
2022-08-25 19:10:00-04:00,Mets vs Colorado Rockies (Home),Sports,Mets,Home,2022,8,25,3,Thursday,False,19
