date,event,type,team,location,year,month,day,day_of_week,day_name,is_weekend,start_hour
2022-04-09 16:05:00-04:00,Yankees vs Boston Red Sox (Home),Sports,Yankees,Home,2022,4,9,5,Saturday,True,16
2022-04-09 19:05:00-04:00,Mets vs Washington Nationals (Away),Sports,Mets,Away,2022,4,9,5,Saturday,True,19
2022-04-10 19:00:00-04:00,Knicks vs Toronto (Home),Sports,Knicks,Home,2022,4,10,6,Sunday,True,19
2022-04-10 13:35:00-04:00,Mets vs Washington Nationals (Away),Sports,Mets,Away,2022,4,10,6,Sunday,True,13
2022-04-10 19:08:00-04:00,Yankees vs Boston Red Sox (Home),Sports,Yankees,Home,2022,4,10,6,Sunday,True,19
2022-04-11 18:45:00-04:00,Mets vs Philadelphia Phillies (Away),Sports,Mets,Away,2022,4,11,0,Monday,False,18
2022-04-11 19:05:00-04:00,Yankees vs Toronto Blue Jays (Home),Sports,Yankees,Home,2022,4,11,0,Monday,False,19
2022-04-12 18:45:00-04:00,Mets vs Philadelphia Phillies (Away),Sports,Mets,Away,2022,4,12,1,Tuesday,False,18
2022-04-12 19:05:00-04:00,Yankees vs Toronto Blue Jays (Home),Sports,Yankees,Home,2022,4,12,1,Tuesday,False,19
2022-04-13 13:05:00-04:00,Mets vs Philadelphia Phillies (Away),Sports,Mets,Away,2022,4,13,2,Wednesday,False,13
