transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers
2024-07-26T22:00:00.000,subway,158,"86 St (C,B)",Manhattan,metrocard,Metrocard - Fair Fare,6.0,0.0
2024-07-26T12:00:00.000,subway,437,145 St (3),Manhattan,metrocard,Metrocard - Fair Fare,4.0,0.0
2024-07-26T14:00:00.000,subway,619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",Manhattan,metrocard,Metrocard - Unlimited 30-Day,106.0,0.0
2024-07-26T13:00:00.000,subway,326,Franklin St (1),Manhattan,metrocard,Metrocard - Other,5.0,0.0
2024-07-26T22:00:00.000,subway,300,191 St (1),Manhattan,metrocard,Metrocard - Unlimited 7-Day,11.0,0.0
2024-07-26T13:00:00.000,subway,143,Inwood-207 St (A),Manhattan,omny,OMNY - Full Fare,117.0,6.0
2024-07-26T14:00:00.000,subway,609,"Bryant Pk (B,D,F,M)/5 Av (7)",Manhattan,metrocard,Metrocard - Unlimited 7-Day,197.0,0.0
2024-07-26T12:00:00.000,subway,307,116 St-Columbia University (1),Manhattan,metrocard,Metrocard - Fair Fare,14.0,0.0
2024-07-26T01:00:00.000,subway,440,"116 St (2,3)",Manhattan,omny,OMNY - Full Fare,3.0,0.0
2024-07-26T17:00:00.000,subway,143,Inwood-207 St (A),Manhattan,metrocard,Metrocard - Other,16.0,0.0
2024-07-26T11:00:00.000,subway,476,86 St (Q),Manhattan,metrocard,Metrocard - Fair Fare,16.0,0.0
2024-07-26T16:00:00.000,subway,326,Franklin St (1),Manhattan,metrocard,Metrocard - Full Fare,57.0,0.0
2024-07-26T09:00:00.000,subway,149,163 St-Amsterdam Av (C),Manhattan,metrocard,Metrocard - Full Fare,38.0,0.0
2024-07-26T10:00:00.000,subway,151,"145 St (A,C,B,D)",Manhattan,metrocard,Metrocard - Full Fare,96.0,3.0
2024-07-26T03:00:00.000,subway,624,"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",Manhattan,metrocard,Metrocard - Full Fare,10.0,0.0
2024-07-26T23:00:00.000,subway,303,157 St (1),Manhattan,metrocard,Metrocard - Full Fare,2.0,0.0
2024-07-26T14:00:00.000,subway,395,103 St (6),Manhattan,metrocard,Metrocard - Unlimited 30-Day,43.0,0.0
2024-07-26T09:00:00.000,subway,144,Dyckman St (A),Manhattan,metrocard,Metrocard - Unlimited 30-Day,37.0,0.0
2024-07-26T03:00:00.000,subway,319,28 St (1),Manhattan,omny,OMNY - Full Fare,7.0,0.0
2024-07-26T07:00:00.000,subway,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,metrocard,Metrocard - Unlimited 7-Day,19.0,0.0
2024-07-26T00:00:00.000,subway,440,"116 St (2,3)",Manhattan,metrocard,Metrocard - Unlimited 30-Day,2.0,0.0
2024-07-26T03:00:00.000,subway,619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",Manhattan,metrocard,Metrocard - Fair Fare,1.0,0.0
2024-07-26T05:00:00.000,subway,395,103 St (6),Manhattan,omny,OMNY - Full Fare,28.0,0.0
2024-07-26T20:00:00.000,subway,8,"5 Av/59 St (N,R,W)",Manhattan,metrocard,Metrocard - Fair Fare,9.0,0.0
2024-07-26T01:00:00.000,subway,234,East Broadway (F),Manhattan,metrocard,Metrocard - Fair Fare,3.0,0.0
