transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers
2023-06-05T14:00:00.000,subway,333,"Wall St (2,3)",Manhattan,metrocard,Metrocard - Unlimited 7-Day,52.0,0.0
2023-06-05T07:00:00.000,subway,144,Dyckman St (A),Manhattan,metrocard,Metrocard - Fair Fare,16.0,0.0
2023-06-05T14:00:00.000,subway,13,"28 St (R,W)",Manhattan,metrocard,Metrocard - Full Fare,76.0,0.0
2023-06-05T09:00:00.000,subway,159,"81 St-Museum of Natural History (C,B)",Manhattan,omny,OMNY - Seniors & Disability,1.0,0.0
2023-06-05T11:00:00.000,subway,153,"125 St (A,C,B,D)",Manhattan,metrocard,Metrocard - Fair Fare,48.0,1.0
2023-06-05T12:00:00.000,subway,329,Rector St (1),Manhattan,metrocard,Metrocard - Seniors & Disability,8.0,0.0
2023-06-05T20:00:00.000,subway,154,"116 St (C,B)",Manhattan,metrocard,Metrocard - Seniors & Disability,4.0,1.0
2023-06-05T17:00:00.000,subway,276,"5 Av/53 St (E,M)",Manhattan,metrocard,Metrocard - Seniors & Disability,44.0,1.0
2023-06-05T12:00:00.000,subway,20,"City Hall (R,W)",Manhattan,metrocard,Metrocard - Full Fare,48.0,0.0
2023-06-05T14:00:00.000,subway,150,155 St (C),Manhattan,metrocard,Metrocard - Full Fare,22.0,1.0
2023-06-05T20:00:00.000,subway,154,"116 St (C,B)",Manhattan,metrocard,Metrocard - Unlimited 7-Day,24.0,0.0
2023-06-05T19:00:00.000,subway,160,"72 St (C,B)",Manhattan,omny,OMNY - Full Fare,269.0,5.0
2023-06-05T14:00:00.000,subway,152,"135 St (C,B)",Manhattan,metrocard,Metrocard - Full Fare,26.0,2.0
2023-06-05T12:00:00.000,subway,14,"23 St (R,W)",Manhattan,metrocard,Metrocard - Full Fare,75.0,3.0
2023-06-05T19:00:00.000,subway,152,"135 St (C,B)",Manhattan,metrocard,Metrocard - Fair Fare,2.0,0.0
2023-06-05T13:00:00.000,subway,277,"7 Av (E,B,D)",Manhattan,omny,OMNY - Full Fare,219.0,1.0
2023-06-05T19:00:00.000,subway,14,"23 St (R,W)",Manhattan,metrocard,Metrocard - Seniors & Disability,14.0,1.0
2023-06-05T01:00:00.000,subway,154,"116 St (C,B)",Manhattan,metrocard,Metrocard - Fair Fare,1.0,0.0
2023-06-05T16:00:00.000,subway,14,"23 St (R,W)",Manhattan,metrocard,Metrocard - Other,37.0,1.0
2023-06-05T16:00:00.000,subway,160,"72 St (C,B)",Manhattan,metrocard,Metrocard - Other,20.0,2.0
2023-06-05T08:00:00.000,subway,328,WTC Cortlandt (1),Manhattan,metrocard,Metrocard - Fair Fare,4.0,0.0
2023-06-05T20:00:00.000,subway,144,Dyckman St (A),Manhattan,metrocard,Metrocard - Seniors & Disability,3.0,1.0
2023-06-05T18:00:00.000,subway,327,"Chambers St (1,2,3)",Manhattan,metrocard,Metrocard - Full Fare,280.0,0.0
2023-06-05T12:00:00.000,subway,276,"5 Av/53 St (E,M)",Manhattan,metrocard,Metrocard - Full Fare,115.0,2.0
2023-06-05T18:00:00.000,subway,276,"5 Av/53 St (E,M)",Manhattan,metrocard,Metrocard - Seniors & Disability,26.0,0.0
2023-06-05T10:00:00.000,subway,147,175 St (A),Manhattan,metrocard,Metrocard - Unlimited 30-Day,31.0,0.0
