transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers
2020-11-29T09:00:00.000,subway,119,1 Av (L),Manhattan,metrocard,Metrocard - Other,7.0,0.0
2021-01-23T23:00:00.000,subway,622,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",Manhattan,metrocard,Metrocard - Unlimited 7-Day,18.0,0.0
2020-11-29T21:00:00.000,subway,118,3 Av (L),Manhattan,metrocard,Metrocard - Other,2.0,0.0
2020-11-29T10:00:00.000,subway,232,2 Av (F),Manhattan,metrocard,Metrocard - Full Fare,36.0,0.0
2020-11-29T23:00:00.000,subway,476,86 St (Q),Manhattan,metrocard,Metrocard - Other,1.0,0.0
2021-01-23T06:00:00.000,subway,619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",Manhattan,metrocard,Metrocard - Other,5.0,0.0
2020-11-29T22:00:00.000,subway,159,"81 St-Museum of Natural History (C,B)",Manhattan,metrocard,Metrocard - Full Fare,25.0,0.0
2021-01-23T23:00:00.000,subway,623,"Canal St (J,N,Q,R,W,Z,6)",Manhattan,omny,OMNY - Full Fare,23.0,0.0
2020-11-29T07:00:00.000,subway,439,"125 St (2,3)",Manhattan,metrocard,Metrocard - Unlimited 7-Day,22.0,0.0
2020-11-29T16:00:00.000,subway,13,"28 St (R,W)",Manhattan,metrocard,Metrocard - Full Fare,59.0,0.0
2020-11-29T18:00:00.000,subway,441,"Central Park North (110 St) (2,3)",Manhattan,metrocard,Metrocard - Unlimited 7-Day,11.0,0.0
2020-11-29T10:00:00.000,subway,17,"Prince St (R,W)",Manhattan,metrocard,Metrocard - Fair Fare,1.0,0.0
2021-01-23T00:00:00.000,subway,619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",Manhattan,metrocard,Metrocard - Unlimited 30-Day,11.0,0.0
2021-01-23T19:00:00.000,subway,619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",Manhattan,metrocard,Metrocard - Seniors & Disability,3.0,0.0
2021-01-23T19:00:00.000,subway,623,"Canal St (J,N,Q,R,W,Z,6)",Manhattan,metrocard,Metrocard - Unlimited 30-Day,135.0,0.0
2020-11-29T06:00:00.000,subway,119,1 Av (L),Manhattan,metrocard,Metrocard - Fair Fare,1.0,0.0
2020-11-29T21:00:00.000,subway,158,"86 St (C,B)",Manhattan,omny,OMNY - Full Fare,8.0,1.0
2020-11-29T10:00:00.000,subway,160,"72 St (C,B)",Manhattan,metrocard,Metrocard - Seniors & Disability,3.0,0.0
2020-11-29T16:00:00.000,subway,159,"81 St-Museum of Natural History (C,B)",Manhattan,omny,OMNY - Full Fare,57.0,0.0
2020-11-29T07:00:00.000,subway,471,34 St-Hudson Yards (7),Manhattan,metrocard,Metrocard - Unlimited 7-Day,15.0,0.0
2020-11-29T10:00:00.000,subway,156,"103 St (C,B)",Manhattan,metrocard,Metrocard - Unlimited 7-Day,6.0,0.0
2021-01-23T08:00:00.000,subway,622,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",Manhattan,metrocard,Metrocard - Fair Fare,1.0,0.0
2020-11-29T15:00:00.000,subway,162,"50 St (C,E)",Manhattan,metrocard,Metrocard - Seniors & Disability,7.0,0.0
2020-11-29T05:00:00.000,subway,232,2 Av (F),Manhattan,metrocard,Metrocard - Full Fare,2.0,0.0
2020-11-29T07:00:00.000,subway,157,"96 St (C,B)",Manhattan,metrocard,Metrocard - Unlimited 7-Day,4.0,0.0
